"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ti","2","215.480679","0.000019","215.480677","0.000008","46393.286","27","","","25192.9650","71586.2514","3d.4s2","c 2D","5/2","3d2.(3F).5p","4G*","7/2","","","u37","",46393.286,10.7449100294687,"wn(cm-1)"
"Ti","2","215.471045","0.000010","215.471043","0.000008","46395.360","131","","","9930.7766","56326.1371","3d2.(3P).4s","b 4P","3/2","3d.(2D).4s.4p.(3P*)","y 4P*","5/2","","","u37","",46395.36,10.744954733214,"wn(cm-1)"
"Ti","2","215.458","","215.457714","0.000011","46398.2","2:","","","9851.0145","56249.2448","3d3","a 2P","1/2","3d.(2D).4s.4p.(3P*)","y 4P*","3/2","","","L5432","",46398.2,10.7450159443584,"wn(cm-1)"
"Ti","2","214.983319","0.000014","214.983327","0.000007","46500.604","40","","","24961.1910","71461.7932","3d.4s2","c 2D","3/2","3d2.(3F).5p","4G*","5/2","","","u37","",46500.604,10.7472205807384,"wn(cm-1)"
"Ti","2","214.90159","0.00005","214.901538","0.000008","46518.287","9","","","32025.5915","78543.8893","3d2.(3F).4p","z 2D*","5/2","3d2.(3P).4d","2D","5/2","","","u37","",46518.287,10.7476007830827,"wn(cm-1)"
"Ti","2","214.688","","214.690990","0.000010","46564.5","0:","","","12758.2597","59322.173","3d3","b 2D2","5/2","3d.(2D).4s.4p.(3P*)","w 2F*","5/2","","","L5432","",46564.5,10.7485937272196,"wn(cm-1)"
"Ti","2","214.389","","214.387988","0.000019","46629.6","3:","","","12758.2597","59387.976","3d3","b 2D2","5/2","3d.(2D).4s.4p.(3P*)","2P*","3/2","","","L5432","",46629.6,10.749990811597,"wn(cm-1)"
"Ti","2","214.28727","0.00003","214.287305","0.000019","46651.630","15","","","16625.2441","63276.867","3d2.(3P).4s","b 2P","3/2","3d2.(1S).4p","2P*","1/2","","","u37","",46651.63,10.7504631467154,"wn(cm-1)"
"Ti","2","214.093","","214.095890","0.000011","46693.9","1:","","","12628.8455","59322.173","3d3","b 2D2","3/2","3d.(2D).4s.4p.(3P*)","w 2F*","5/2","","","L5432","",46693.9,10.7513688141403,"wn(cm-1)"
"Ti","2","214.020","","214.018939","0.000010","46709.9","0:","","","12758.2597","59468.374","3d3","b 2D2","5/2","3d.(2D).4s.4p.(3P*)","w 2F*","7/2","","","L5432","",46709.9,10.7517114126247,"wn(cm-1)"
"Ti","2","213.92280","0.00006","213.922849","0.000011","46731.105","7","","","9518.1516","56249.2448","3d3","a 4P","5/2","3d.(2D).4s.4p.(3P*)","y 4P*","3/2","","","u37","",46731.105,10.7521652818947,"wn(cm-1)"
"Ti","2","213.835949","0.000010","213.835972","0.000014","46750.082","54","","","16625.2441","63375.321","3d2.(3P).4s","b 2P","3/2","3d2.(1S).4p","2P*","3/2","","","u37","",46750.082,10.752571288726,"wn(cm-1)"
"Ti","2","213.795","","213.794564","0.000019","46759.0","5:","","","12628.8455","59387.976","3d3","b 2D2","3/2","3d.(2D).4s.4p.(3P*)","2P*","3/2","","","L5432","",46759,10.7527620295575,"wn(cm-1)"
