element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,2,"=""261.6934""","=""0.0006""","=""261.6930""","=""0.0003""","=""38201.26""","=""20""","=""""",,"=""43850.341""","=""82051.65""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4F).4p""","=""x 5F*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""261.7456""","=""0.0018""","=""261.7441""","=""0.0004""","=""38193.63""","=""100*""","=""""",,"=""31022.20""","=""69216.059""","=""3d6""","=""a 3P""","=""0""","=""3d5.(4P).4p""","=""z 3P*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""261.7456""","=""0.0018""","=""261.7463""","=""0.0003""","=""38193.63""","=""100*""","=""""",,"=""44745.501""","=""82939.04""","=""3d5.(2F).4s""","=""b 3F""","=""2""","=""3d5.(a 2F).4p""","=""w 3D*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""261.7636""","=""0.0006""","=""261.7640""","=""0.0004""","=""38191.03""","=""50""","=""""",,"=""43131.51""","=""81322.46""","=""3d6""","=""a 1D""","=""2""","=""3d5.(a 2D).4p""","=""x 3P*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""261.8148""","=""0.0006""","=""261.8146""","=""0.0003""","=""38183.54""","=""5000""","=""2.9e+08""",C,"=""27571.25""","=""65754.82""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5H*""","=""6""",,"=""c88""","=""L562""",
Mn,2,"=""261.8920""","=""0.0006""","=""261.89198""","=""0.00014""","=""38172.30""","=""40""","=""1.5e+08""",D,"=""44745.501""","=""82917.79""","=""3d5.(2F).4s""","=""b 3F""","=""2""","=""3d5.(a 2F).4p""","=""w 3F*""","=""2""",,"=""c88""","=""L562""",
Mn,2,"=""261.9003""","=""0.0006""","=""261.90035""","=""0.00021""","=""38171.08""","=""40""","=""2.1e+08""",D,"=""44899.851""","=""83070.92""","=""3d5.(2F).4s""","=""b 3F""","=""3""","=""3d5.(a 2F).4p""","=""w 3D*""","=""2""",,"=""c88""","=""L562""",
Mn,2,"=""261.9311""","=""0.0006""","=""261.9297""","=""0.0005""","=""38166.59""","=""40""","=""1.4e+08""",C,"=""43696.217""","=""81863.01""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4F).4p""","=""y 5G*""","=""4""",,"=""c88""","=""L562""",
Mn,2,"=""262.0245""","=""0.0006""","=""262.02461""","=""0.00021""","=""38152.98""","=""30""","=""""",,"=""49427.371""","=""87580.34""","=""3d5.(2G).4s""","=""c 3G""","=""4""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""262.1300""","=""0.0006""","=""""","=""""","=""38137.63""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L562""",
