"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ni","2","","","666.680","","14995.57","","6.2e-04","E","0.00","14995.57","3p6.3d9","2D","5/2","3p6.3d8.(3F).4s","2F","5/2","M1","T4240","","",14995.57,9.61551010313154,"wn(cm-1)"
"Ni","2","","","646.729","","15458.16","","6.2e-03","E","9330.04","24788.20","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(3P).4s","4P","3/2","E2","T4240","","",15458.16,9.64589229824076,"wn(cm-1)"
"Ni","2","","","644.129","","15520.54","","3.1e-02","E","13550.39","29070.93","3p6.3d8.(3F).4s","2F","7/2","3p6.3d8.(3P).4s","2P","3/2","E2","T4240","","",15520.54,9.64991958694635,"wn(cm-1)"
"Ni","2","","","636.510","","15706.34","","1.9e-01","E","9330.04","25036.38","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(1D).4s","2D","5/2","M1","T4240","","",15706.34,9.66181973147843,"wn(cm-1)"
"Ni","2","","","600.706","","16642.48","","7.4e-03","E","8393.90","25036.38","3p6.3d8.(3F).4s","4F","9/2","3p6.3d8.(1D).4s","2D","5/2","E2","T4240","","",16642.48,9.71971374173161,"wn(cm-1)"
"Ni","2","","","571.141","","17503.96","","5.9e-04","E","14995.57","32499.53","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(1G).4s","2G","9/2","E2","T4240","","",17503.96,9.77018242002714,"wn(cm-1)"
"Ni","2","","","570.358","","17527.97","","4.2e-02","E","14995.57","32523.54","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",17527.97,9.7715531697266,"wn(cm-1)"
"Ni","2","","","543.1194","","18407.04","","1.9e-03","E","10663.89","29070.93","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",18407.04,9.82048847911669,"wn(cm-1)"
"Ni","2","","","528.1271","","18929.57","","1.3e-03","E","10663.89","29593.46","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(3P).4s","2P","1/2","M1","T4240","","",18929.57,9.8484805286786,"wn(cm-1)"
"Ni","2","","","527.5816","","18949.14","","8.2e-02","E","13550.39","32499.53","3p6.3d8.(3F).4s","2F","7/2","3p6.3d8.(1G).4s","2G","9/2","M1","T4240","","",18949.14,9.849513826895,"wn(cm-1)"
