element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,313.536222,0.000018,313.536222,0.000015,31885.0022,11000,9.e+06,D+,31387.9788,63272.981,3d6.(3D).4s,b 4D,5/2,3d6.(3F2).4p,x 4D*,5/2,,T6892c83,L18349c139,,31885.0022,10.36989102774733,wn(cm-1)
Fe,2,313.4986,0.0005,313.498260,0.000014,31888.83,170?,7.e+05,D,60441.042,92329.905,3d5.4s2,c 4D,3/2,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,T6892c83,L18349c142,,31888.83,10.370011070713938,wn(cm-1)
Fe,2,313.4228,0.0005,313.422499,0.000016,31896.54,210,9.e+06,D+,66672.336,98568.907,3d6.(3G).4p,y 4H*,7/2,3d6.(3H).5s,e 4H,7/2,,T6892c83,L18349c143,,31896.54,10.370252818940454,wn(cm-1)
Fe,2,313.3963,0.0005,313.395891,0.000015,31899.24,"60d,bl(Fe I)?",,,82978.717,114877.996,3d6.(5D).4d,e 6F,9/2,3d6.(3G).5p,2G*,9/2,,,L18349c143,,31899.24,10.370337464037718,wn(cm-1)
Fe,2,313.3758,0.0005,313.375653,0.000019,31901.32,170,5.e+05,D,60270.351,92171.690,3d5.4s2,c 4D,7/2,3d6.(3F1).4p,u 2G*,9/2,,T6892c83,L18349c142,,31901.32,10.37040266722718,wn(cm-1)
Fe,2,313.3048,0.0005,313.305070,0.000016,31908.55,900,1.5e+06,D,31364.4554,63272.981,3d6.(3D).4s,b 4D,3/2,3d6.(3F2).4p,x 4D*,5/2,,T6892c83,L18349c143,,31908.55,10.370629277939,wn(cm-1)
Fe,2,313.2061,0.0005,313.20531,0.00003,31918.61,70,,,78690.860,110609.548,3d6.(1D2).4p,w 2D*,5/2,3d6.(3G).4d,4F,3/2,,,L18349c142,,31918.61,10.37094450424966,wn(cm-1)
Fe,2,313.1721,0.0005,313.17215,0.00003,31922.07,700,7.e+05,D,32909.883,64831.951,3d6.(1I).4s,a 2I,11/2,3d6.(3F2).4p,y 2G*,9/2,,T6892c83,L18349c143,,31922.07,10.371052899085159,wn(cm-1)
Fe,2,313.1392,0.0005,313.139461,0.000015,31925.43,240d?,,,30764.4737,62689.874,3d6.(3G).4s,b 2G,7/2,3d6.(3P2).4p,y 4D*,5/2,,,L18349c142,,31925.43,10.37115814987816,wn(cm-1)
Fe,2,313.1105,0.0005,313.11041,0.00003,31928.35,110,1.0e+07,D+,78137.404,110065.766,3d6.(1D2).4p,v 2F*,7/2,3d6.(3G).4d,2D,5/2,,T6892c83,L18349c143,,31928.35,10.371249608833356,wn(cm-1)
Fe,2,313.0565,0.0005,313.056112,0.000016,31933.86,700d?,,,30388.5451,62322.445,3d6.(3G).4s,b 2G,9/2,3d6.(3H).4p,z 2G*,7/2,,,L18349c143,,31933.86,10.37142216784795,wn(cm-1)
Fe,2,312.9998,0.0005,312.998672,0.000014,31939.65,70d?,,,81734.733,113674.493,3d5.4s2,2F2,7/2,3d6.(5D<2>).5f,2[2]*,5/2,,,L18349c143,,31939.65,10.371603463662627,wn(cm-1)
Fe,2,312.9012,0.0005,312.900761,0.000020,31949.71,600bl(Fe II)*,1.4e+05,E,31999.049,63948.803,3d7,b 2F,7/2,3d6.(3F2).4p,y 4G*,9/2,,T6892c83,L18349c142,,31949.71,10.371918383082171,wn(cm-1)
Fe,2,312.8239,0.0005,312.823174,0.000014,31957.60,70d?,,,81734.733,113692.411,3d5.4s2,2F2,7/2,3d6.(5D<2>).5f,2[4]*,9/2,,,L18349c143,,31957.6,10.37216530319319,wn(cm-1)
Fe,2,312.6696,0.0005,312.66913,0.00008,31973.37,100,,,84359.779,116333.201,3d6.(1F).4p,v 2D*,3/2,3d5.4s.(5S).4d,6D,1/2,,,L18349c142,,31973.37,10.37265864782162,wn(cm-1)
Fe,2,312.6275,0.0005,312.628630,0.000019,31977.68,"90d,bl(Fe II)?*",5.e+05,D,72130.375,104107.939,3d6.(1G2).4p,x 2H*,9/2,3d6.(3P2).4d,4F,7/2,,T6892c83,L18349c142,,31977.68,10.372793438415567,wn(cm-1)
Fe,2,312.5863,0.0005,312.586556,0.000015,31981.89,160d?,1.0e+06,D+,66463.542,98445.410,3d6.(3G).4p,y 4H*,11/2,3d6.(3H).5s,e 4H,9/2,,T6892c83,L18349c143,,31981.89,10.37292508407879,wn(cm-1)
Fe,2,,,312.418715,0.000020,31999.0490,,5.5e-04,E,0.0000,31999.049,3d6.(5D).4s,a 6D,9/2,3d7,b 2F,7/2,M1,T8961,,,31999.049,10.373461462590253,wn(cm-1)
Fe,2,312.3725,0.0005,312.372607,0.000015,32003.78,220d?,2.4e+06,D+,60270.351,92274.123,3d5.4s2,c 4D,7/2,3d6.(3P1).4p,4P*,5/2,,T6892c83,L18349c143,,32003.78,10.373609299805656,wn(cm-1)
Fe,2,312.3048,0.0005,312.304862,0.000020,32010.72,90d?,,,73054.913,105065.627,3d6.(1G2).4p,x 2F*,5/2,3d6.(5D).5d,6G,7/2,,,L18349c142,,32010.72,10.373826125681893,wn(cm-1)
Fe,2,312.0019,0.0005,312.001453,0.000020,32041.80,"700d,bl(Fe I)?",,,31999.049,64040.891,3d7,b 2F,7/2,3d6.(3F2).4p,y 4G*,7/2,,,L18349c143,,32041.8,10.374796579379552,wn(cm-1)
Fe,2,311.8881,0.0005,311.888001,0.000018,32053.49,90d?,,,72651.914,104705.411,3d6.(3D).4p,w 4D*,7/2,3d6.(5D).5d,6D,7/2,,,L18349c142,,32053.49,10.375161348776167,wn(cm-1)
Fe,2,311.8858,0.0005,311.886697,0.000021,32053.72,120d?,1.3e+06,D+,72261.742,104315.373,3d6.(1G2).4p,x 2H*,11/2,3d6.(3H).4d,2K,13/2,,T6892c83,L18349c143,,32053.72,10.375168524256118,wn(cm-1)
Fe,2,311.8741,0.0005,311.873617,0.000020,32054.93,400,,,33501.2957,65556.271,3d6.(1G2).4s,c 2G,7/2,3d6.(3H).4p,z 2H*,9/2,,,L18349c142,,32054.93,10.375206272672289,wn(cm-1)
Fe,2,311.8298,0.0005,311.829074,0.000017,32059.48,220,2.5e+06,D+,60270.351,92329.905,3d5.4s2,c 4D,7/2,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,T6892c83,L18349c142,,32059.48,10.375348206443732,wn(cm-1)
Fe,2,311.7475,0.0003,311.747574,0.000017,32067.95,310,9.e+06,D+,67000.530,99068.465,3d6.(3F2).4p,y 2D*,5/2,3d6.(3P2).5s,2P,3/2,,T6892c83,L18349c139,,32067.95,10.375612367974899,wn(cm-1)
Fe,2,311.65802,0.00004,311.657962,0.000016,32077.149,4000,5.5e+06,D+,31387.9788,63465.134,3d6.(3D).4s,b 4D,5/2,3d6.(3F2).4p,x 4D*,3/2,,T6892c83,L18349c139,,32077.149,10.375899186460066,wn(cm-1)
Fe,2,311.5615,0.0005,311.560948,0.000017,32087.09,110d?,2.2e+06,D+,72651.914,104739.057,3d6.(3D).4p,w 4D*,7/2,3d6.(3F2).4d,4P,5/2,,T6892c83,L18349c143,,32087.09,10.376209047536406,wn(cm-1)
Fe,2,311.5493,0.0005,311.549141,0.000020,32088.34,310,,,31999.049,64087.408,3d7,b 2F,7/2,3d6.(3F2).4p,y 4G*,5/2,,,L18349c142,,32088.34,10.376248003255133,wn(cm-1)
Fe,2,311.5356,0.0005,311.535377,0.000020,32089.75,700d?,,,33466.4943,65556.271,3d6.(1G2).4s,c 2G,9/2,3d6.(3H).4p,z 2H*,9/2,,,L18349c143,,32089.75,10.376291943484587,wn(cm-1)
Fe,2,311.46833,0.00006,311.468360,0.000020,32096.684,2400,2.5e+06,D+,31368.453,63465.134,3d6.(3D).4s,b 4D,1/2,3d6.(3F2).4p,x 4D*,3/2,,T6892c83,L18349c139,,32096.684,10.376508001601383,wn(cm-1)
Fe,2,311.42954,0.00004,311.429570,0.000018,32100.682,4000,6.4e+06,D+,31364.4554,63465.134,3d6.(3D).4s,b 4D,3/2,3d6.(3F2).4p,x 4D*,3/2,,T6892c83,L18349c139,,32100.682,10.37663255499833,wn(cm-1)
Fe,2,311.4122,0.0005,311.412919,0.000019,32102.47,600d?,,,52582.850,84685.245,3d5.(6S).4s.4p.(3P*),z 8P*,7/2,3d6.(5D).4d,f 4D,7/2,,,L18349c143,,32102.47,10.376688253198335,wn(cm-1)
Fe,2,311.3245,0.0005,311.323753,0.000019,32111.51,110d?,7.e+05,D,73016.184,105127.773,3d6.(1G2).4p,x 2F*,7/2,3d6.(5D).5d,4D,5/2,,T6892c83,L18349c143,,32111.51,10.376969811826525,wn(cm-1)
Fe,2,311.21854,0.00014,311.21893,0.00004,32122.445,200,,,78487.144,110609.548,3d6.(1D2).4p,w 2D*,3/2,3d6.(3G).4d,4F,3/2,,,L18349c139,,32122.445,10.377310285960668,wn(cm-1)
Fe,2,310.9624,0.0005,310.96146,0.00005,32148.90,190,,,58631.623,90780.623,3d6.(1G1).4s,d 2G,9/2,3d6.(5D).5p,4F*,7/2,,,L18349c142,,32148.9,10.378133514461458,wn(cm-1)
Fe,2,310.8891,0.0005,310.888765,0.000017,32156.48,90d?,,,72650.698,104807.215,3d6.(3D).4p,w 4F*,9/2,3d6.(3H).4d,2G,9/2,,,L18349c142,,32156.48,10.378369264566196,wn(cm-1)
Fe,2,310.6983,0.0005,310.698106,0.000017,32176.23,110,6.e+05,D,72651.914,104828.163,3d6.(3D).4p,w 4D*,7/2,3d6.(5D).5d,6D,5/2,,T6892c83,L18349c143,,32176.23,10.378983260171868,wn(cm-1)
Fe,2,310.65649,0.00007,310.656374,0.000016,32180.559,2600,1.88e+06,C+,30764.4737,62945.045,3d6.(3G).4s,b 2G,7/2,3d6.(3F2).4p,x 4D*,7/2,,T7461,L18349c139,,32180.559,10.379117791433412,wn(cm-1)
Fe,2,310.6246,0.0005,310.624223,0.000020,32183.86,90d?,,,73054.913,105238.815,3d6.(1G2).4p,x 2F*,5/2,3d6.(3P2).4d,2D,5/2,,,L18349c142,,32183.86,10.37922036363259,wn(cm-1)
Fe,2,310.55540,0.00008,310.555294,0.000021,32191.034,2200,7.0e+06,D+,31368.453,63559.498,3d6.(3D).4s,b 4D,1/2,3d6.(3F2).4p,x 4D*,1/2,,T6892c83,L18349c139,,32191.034,10.37944324555391,wn(cm-1)
Fe,2,310.51675,0.00007,310.516732,0.000017,32195.041,2200,7.5e+06,D+,31364.4554,63559.498,3d6.(3D).4s,b 4D,3/2,3d6.(3F2).4p,x 4D*,1/2,,T6892c83,L18349c139,,32195.041,10.379567713461146,wn(cm-1)
Fe,2,310.4168,0.0005,310.417809,0.000015,32205.41,150,,,79439.496,111644.798,3d6.(5D).5s,e 4D,7/2,3d5.(2H).4s.4p.(3P*),4I*,9/2,,,L18349c143,,32205.41,10.379889729842354,wn(cm-1)
