"draw","k_best","deltaD","amplitude","phase","delta_log_x","scale_ratio","converged","boundary","in_region"
37,31.2947178871549,344.516425166165,0.273126197211002,-0.403686834738581,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
38,31.3583433373349,325.119879168793,0.265557226688743,-0.965889755826318,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
39,31.4855942376951,327.065296116322,0.266107453318174,-2.26444535050534,0.199557463001834,1.22086236183153,TRUE,FALSE,TRUE
40,31.3583433373349,334.827361404235,0.269351651012113,-0.981954737980255,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
41,31.390156062425,253.252359259952,0.233872866518937,-1.33539865131469,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
42,31.2947178871549,351.94512739425,0.276223521991454,-0.361328139888293,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
43,31.2947178871549,292.15780104667,0.251238302521225,-0.399370140154659,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
44,31.2310924369748,343.925650432814,0.272689078076502,0.18579508166755,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
45,31.3265306122449,292.00371097863,0.251095428745901,-0.74369395381186,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
46,31.2629051620648,327.326867751596,0.266152871997017,-0.0619292834749401,0.200978932527479,1.22259901448086,TRUE,FALSE,TRUE
47,31.390156062425,341.383619562503,0.271806703018455,-1.36855769309212,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
48,31.1674669867947,321.459016065513,0.263686392157472,0.869932563215665,0.201594351887553,1.22335165715567,TRUE,FALSE,TRUE
49,31.3265306122449,299.161054200055,0.254257723743396,-0.759393903053185,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
50,31.390156062425,328.329058075046,0.266349064349468,-1.40763601138991,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
51,31.3583433373349,380.289080624632,0.287200370483608,-0.993115176692698,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
52,31.4855942376951,314.550138566254,0.260848191115066,-2.2505053669581,0.199557463001834,1.22086236183153,TRUE,FALSE,TRUE
53,31.421968787515,328.213195223597,0.266463717068777,-1.65409465766672,0.199961541228317,1.22135578541362,TRUE,FALSE,TRUE
54,31.3583433373349,261.461609346961,0.237572261808685,-1.00119587160104,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
55,31.2629051620648,368.016699992028,0.282134154023936,-0.143205704676962,0.200978932527479,1.22259901448086,TRUE,FALSE,TRUE
56,31.390156062425,283.208152102137,0.247486349019474,-1.32452501655876,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
57,31.3265306122449,309.671160811765,0.258675911705369,-0.752755141260631,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
58,31.421968787515,340.223780422742,0.27147058263058,-1.67359741731188,0.199961541228317,1.22135578541362,TRUE,FALSE,TRUE
59,31.3583433373349,323.484043331359,0.264819649716915,-0.917451591428833,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
60,31.3265306122449,290.109691718395,0.250682775666625,-0.635891819211887,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
