element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,1739.34112,0.00009,1739.34103,0.00021,5747.7337,40,,,106649.452,112397.186,3d5.(4F).4s.4p.(3P*),6F*,11/2,3d6.(5D).7s,6D,9/2,,,L18349c139,,5747.7337,8.656560916967718,wn(cm-1)
Fe,2,1739.06579,0.00009,1739.0654,0.0003,5748.6437,90,3.38e+06,B+,84844.866,90593.511,3d6.(5D).4d,e 6G,5/2,3d6.(5D).5p,6F*,3/2,,T6892c83,L18349c139,,5748.6437,8.656719227706875,wn(cm-1)
Fe,1,1738.983,0.006,1738.9828,0.0004,5748.917,87bl,,,47420.228,53169.146,3d6.(3G).4s.4p.(3P*),w 5G*,5,3d7.(4F).4d,f 5G,6,,,L11631,,5748.917,8.65676676822563,wn(cm-1)
Fe,2,1738.98275,0.00011,1738.9807,0.0003,5748.9182,2.5bl(Fe I),,,107217.854,112966.779,3d6.(5D).6p,6F*,9/2,3d5.(6S).4p2,6P,7/2,,,L18349c148,,5748.9182,8.656766976960576,wn(cm-1)
Fe,1,1738.346,0.006,1738.3478,0.0009,5751.022,56bl,,,51409.124,57160.142,3d6.(3G).4s.4p.(3P*),x 3H*,4,3d6.4s.(6D).5d,5P,3,,,L11631,,5751.022,8.657132857128103,wn(cm-1)
Fe,2,1737.93955,0.00009,1737.93955,0.00018,5752.3690,9,,,107728.935,113481.304,3d5.(2D3).4s.4p.(3P*),2D*,5/2,3d6.(5D).7s,4D,3/2,,,L18349c148,,5752.369,8.657367048942701,wn(cm-1)
Fe,1,1737.4676,0.0009,1737.4675,0.0004,5753.931,93,,,46313.537,52067.469,3d7.(4P).4p,w 5P*,2,3d6.(5D).4s (6D).4d,e 5P,2,,,L11631,,5753.931,8.657638552381616,wn(cm-1)
Fe,2,1737.29777,0.00009,1737.30532,0.00021,5754.4940,2.3,,,98114.577,103869.046,3d6.(3P2).5s,4P,3/2,3d6.(5D<1>).4f,2[2]*,3/2,,,L18349c145,,5754.494,8.657736393745738,wn(cm-1)
Fe,1,1737.114,0.005,1737.1130,0.0015,5755.103,18,,,53925.200,59680.306,3d7.(4F).4d,f 5P,1,3d7.(4F<5/2>).4f,2[5/2]*,2,,,L11631,,5755.103,8.657842218476278,wn(cm-1)
Fe,2,1737.114,0.002,1737.11212,0.00021,5755.104,0.18bl(Fe I),3.6e+03,D,104593.292,110348.401,3d6.(5D).5d,6G,11/2,3d5.(2G2).4s.4p.(3P*),4H*,13/2,,T6892c83,L18349c148,,5755.104,8.657842392235098,wn(cm-1)
