element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Cr,2,240.97786,0.00010,240.97789,0.00003,41484.972,5,,,65029.3350,106514.302,3d4.(a 3P).4p,z 2S*,1/2,3d4.(a 3F).4d,2P,1/2,,,L18847,,41484.972,10.633086520155407,wn(cm-1)
Cr,2,240.86870,0.00003,240.86873,0.00003,41503.771,17,,,52297.7730,93801.539,3d5,d 2G,7/2,3d4.(b 3F).4p,u 2G*,7/2,,,L18847,,41503.771,10.63353956956047,wn(cm-1)
Cr,2,240.82987,0.00003,240.829894,0.000012,41510.462,21,,,53566.2511,95076.7096,3d3.4s2,c 4F,7/2,3d4.(5D).5p,4D*,5/2,,,L18847,,41510.462,10.633700770833377,wn(cm-1)
Cr,2,240.793065,0.000017,240.793063,0.000012,41516.807,36,,,63848.6962,105365.5034,3d4.(3H).4p,z 4H*,11/2,3d4.(3H).4d,g 4G,9/2,,,L18847,,41516.807,10.633853612185112,wn(cm-1)
Cr,2,240.78003,0.00003,240.780031,0.000012,41519.055,23,,,67875.3689,109394.423,3d4.(a 3F).4p,x 4D*,7/2,3d4.(5D).5d,6S,5/2,,,L18847,,41519.055,10.633907757465147,wn(cm-1)
Cr,2,240.5665,0.0002,240.56640,0.00003,41555.90,2,,,68305.5518,109861.473,3d4.(a 3P).4p,z 4S*,3/2,3d4.(3G).4d,4D,3/2,,,L18847,,41555.9,10.634794787796151,wn(cm-1)
Cr,2,240.53420,0.00014,240.53414,0.00012,41561.48,4,,,59130.325,100691.82,3d4.(a 3P).4s,b 2P,3/2,3d3.(2P).4s.4p.(3P*),r 4D*,3/2,,,L18847,,41561.48,10.634929055743683,wn(cm-1)
Cr,2,240.5266,0.0002,240.526876,0.000009,41562.80,2,,,35707.4682,77270.2178,3d5,b 2H,11/2,3d4.(1I).4p,w 2H*,9/2,,,L18847,,41562.8,10.634960815417273,wn(cm-1)
Cr,2,240.49214,0.00015,240.492245,0.000008,41568.75,4,,,32854.9399,74423.6741,3d5,b 4F,5/2,3d4.(3D).4p,w 4F*,7/2,,,L18847,,41568.75,10.635103962032732,wn(cm-1)
Cr,2,240.48844,0.00008,240.488252,0.000008,41569.393,7,,,32854.2497,74423.6741,3d5,b 4F,9/2,3d4.(3D).4p,w 4F*,7/2,,,L18847,,41569.393,10.635119430263721,wn(cm-1)
Cr,2,240.46916,0.00002,240.469146,0.000012,41572.725,30,,,63706.2511,105278.978,3d4.(3H).4p,z 4H*,9/2,3d4.(3H).4d,g 4G,7/2,,,L18847,,41572.725,10.635199582179068,wn(cm-1)
Cr,2,240.45800,0.00012,240.458051,0.000012,41574.65,5,,,63848.6962,105423.3412,3d4.(3H).4p,z 4H*,11/2,3d4.(3H).4d,g 4G,11/2,,,L18847,,41574.65,10.635245885504947,wn(cm-1)
Cr,2,240.44977,0.00008,240.449789,0.000018,41576.077,7,,,67870.2106,109446.284,3d4.(a 3F).4p,x 4D*,3/2,3d4.(a 3F).5d,4P,3/2,,,L18847,,41576.077,10.63528020871658,wn(cm-1)
Cr,2,240.435755,0.000019,240.435771,0.000018,41578.500,38,,,67867.7867,109446.284,3d4.(a 3F).4p,x 4D*,5/2,3d4.(a 3F).5d,4P,3/2,,,L18847,,41578.5,10.635338485725208,wn(cm-1)
Cr,2,240.4204,0.0004,240.420316,0.000010,41581.16,2,,,32854.9399,74436.1098,3d5,b 4F,5/2,3d4.(a 1G).4p,x 2F*,5/2,,,L18847,,41581.16,10.63540245905076,wn(cm-1)
Cr,2,240.412381,0.000014,240.412399,0.000012,41582.542,56,,,67875.3689,109457.908,3d4.(a 3F).4p,x 4D*,7/2,3d4.(a 3F).5d,4P,5/2,,,L18847,,41582.542,10.635435694704462,wn(cm-1)
Cr,2,240.38647,0.00004,240.386485,0.000008,41587.024,15,,,32836.6527,74423.6741,3d5,b 4F,7/2,3d4.(3D).4p,w 4F*,7/2,,,L18847,,41587.024,10.63554347451431,wn(cm-1)
Cr,2,240.36857,0.00010,240.368566,0.000012,41590.120,5,,,67867.7867,109457.908,3d4.(a 3F).4p,x 4D*,5/2,3d4.(a 3F).5d,4P,5/2,,,L18847,,41590.12,10.635617918041763,wn(cm-1)
Cr,2,240.35266,0.00019,240.35244,0.00004,41592.87,4,,,52297.7730,93890.684,3d5,d 2G,7/2,3d3.(4F).4s.4p.(3P*),s 2F*,5/2,,,L18847,,41592.87,10.635684037328916,wn(cm-1)
Cr,2,240.26675,0.00003,240.266746,0.000012,41607.745,21,,,65542.8987,107150.6437,3d4.(3H).4p,z 2G*,7/2,3d4.(a 3F).4d,2H,9/2,,,L18847,,41607.745,10.63604160680502,wn(cm-1)
Cr,2,240.22024,0.00004,240.22023,0.00003,41615.800,17,,,67870.2106,109486.012,3d4.(a 3F).4p,x 4D*,3/2,3d4.(a 3F).5d,4P,1/2,,,L18847,,41615.8,10.636235181832978,wn(cm-1)
Cr,2,240.20726,0.00014,240.207253,0.000012,41618.05,4,,,42986.5955,84604.6448,3d4.(3D).4s,b 2D,3/2,3d4.(1F).4p,u 2F*,5/2,,,L18847,,41618.05,10.636289246375242,wn(cm-1)
Cr,2,240.15869,0.00008,240.15876,0.00003,41626.465,7,,,67859.5593,109486.012,3d4.(a 3F).4p,x 4D*,1/2,3d4.(a 3F).5d,4P,1/2,,,L18847,,41626.465,10.636491421858604,wn(cm-1)
Cr,2,240.1324,0.0007,240.13203,0.00010,41631.01,2,,,59526.677,101157.763,3d4.(a 3P).4s,b 2P,1/2,3d3.(4P).4s.4p.(3P*),u 2P*,3/2,,,L18847,,41631.01,10.636600601244707,wn(cm-1)
