"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Co","2","1755.1499","0.0010","1755.1513","0.0007","5695.963","35","1.41e+06","C+","90302.776","95998.735","3d7.(4F).4d","e 5G","6","3d7.(4F).5p","5G*","6","","T6999","L9429c118","",5695.963,8.6475129572842,"wn(cm-1)"
"Co","2","1742.9255","0.0007","1742.9259","0.0006","5735.913","27","1.29e+06","C+","91326.932","97062.844","3d7.(4F).4d","e 3G","5","3d7.(4F).5p","3F*","4","","T6999","L9429c118","",5735.913,8.65450221480041,"wn(cm-1)"
"Co","2","1740.8314","0.0016","1740.8242","0.0009","5742.813","2","7.1e+05","C+","90753.266","96496.103","3d7.(4F).4d","f 5F","3","3d7.(4F).5p","5F*","3","","T6999","L9429c118","",5742.813,8.65570443895509,"wn(cm-1)"
"Co","2","1736.0668","0.0011","1736.0633","0.0024","5758.574","2","3.5e+05","C+","92519.979","98278.565","3d7.(4F).4d","e 3G","3","3d7.(4F).5p","3G*","3","","T6999","L9429c118","",5758.574,8.65844515359512,"wn(cm-1)"
"Co","2","1733.3343","0.0010","1733.3317","0.0018","5767.652","9","1.26e+06","C+","92519.979","98287.640","3d7.(4F).4d","e 3G","3","3d7.(4F).5p","3F*","2","","T6999","L9429c118","",5767.652,8.66002034427367,"wn(cm-1)"
"Co","2","1730.4046","0.0011","1730.4050","0.0015","5777.417","9","1.00e+06","C+","90199.163","95976.579","3d7.(4F).4d","f 5F","4","3d7.(4F).5p","5F*","4","","T6999","L9429c118","",5777.417,8.66171197597005,"wn(cm-1)"
"Co","2","1727.5809","0.0012","1727.5822","0.0007","5786.860","11","6.8e+05","C+","91918.200","97705.056","3d7.(4F).4d","e 3G","4","3d7.(4F).5p","3G*","4","","T6999","L9429c118","",5786.86,8.66334510912637,"wn(cm-1)"
"Co","2","1725.222","0.003","1725.230","0.003","5794.771","2","8.7e+05","C+","91358.992","97153.739","3d7.(4F).4d","f 5F","1","3d7.(4F).5p","5F*","1","","T6999","L9429c118","",5794.771,8.66471123816819,"wn(cm-1)"
"Co","2","1655.8752","0.0017","1655.8813","0.0016","6037.453","1","4.1e+04","D","90199.163","96236.594","3d7.(4F).4d","f 5F","4","3d7.(4F).5p","3G*","5","","T6999","L9429c118","",6037.453,8.70573751325144,"wn(cm-1)"
"Co","2","1652.5738","0.0006","1652.5786","0.0008","6049.514","12bl","7.8e+05","C+","91918.200","97967.697","3d7.(4F).4d","e 3G","4","3d7.(4F).5p","3F*","3","","T6999","L9429c118","",6049.514,8.7077332172197,"wn(cm-1)"
"Co","2","1647.738","0.003","1647.7379","0.0006","6067.268","10","3.7e+05","C+","89931.466","95998.735","3d7.(4F).4d","f 5F","5","3d7.(4F).5p","5G*","6","","T6999","L9429c118","",6067.268,8.71066370036375,"wn(cm-1)"
"Co","2","1642.1449","0.0014","1642.1448","0.0005","6087.933","14","1.20e+06","C+","91408.494","97496.428","3d7.(4F).4d","e 3D","3","3d7.(4F).5p","3D*","3","","T6999","L9429c118","",6087.933,8.71406389422472,"wn(cm-1)"
"Co","2","1631.2752","0.0024","1631.2652","0.0013","6128.499","4","4.5e+05","C+","92519.979","98648.516","3d7.(4F).4d","e 3G","3","3d7.(4F).5p","3D*","2","","T6999","L9429c118","",6128.499,8.72070513760914,"wn(cm-1)"
"Co","2","1587.6343","0.0017","1587.6392","0.0006","6296.959","2","6.e+03","D","90199.163","96496.103","3d7.(4F).4d","f 5F","4","3d7.(4F).5p","5F*","3","","T6999","L9429c118","",6296.959,8.74782209743054,"wn(cm-1)"
"Co","2","1571.8095","0.0019","1571.8073","0.0010","6360.356","2","2.9e+05","D","91918.200","98278.565","3d7.(4F).4d","e 3G","4","3d7.(4F).5p","3G*","3","","T6999","L9429c118","",6360.356,8.7578396296104,"wn(cm-1)"
"Co","2","1570.5681","0.0015","1570.5690","0.0004","6365.383","11","5.8e+05","C+","90697.464","97062.844","3d7.(4F).4d","e 5G","5","3d7.(4F).5p","3F*","4","","T6999","L9429c118","",6365.383,8.75862968200131,"wn(cm-1)"
"Co","2","1513.9062","0.0013","1513.9111","0.0007","6603.624","8","6.0e+05","C+","92044.913","98648.516","3d7.(4F).4d","e 3D","2","3d7.(4F).5p","3D*","2","","T6999","L9429c118","",6603.624,8.79537386822836,"wn(cm-1)"
"Co","2","1286.8887","0.0014","1286.8921","0.0005","7768.555","4","4.1e+04","D","90199.163","97967.697","3d7.(4F).4d","f 5F","4","3d7.(4F).5p","3F*","3","","T6999","L9429c118","",7768.555,8.95783945438084,"wn(cm-1)"
"Co","2","1158.3530","0.0005","1158.3530","0.0004","8630.585","7","","","98287.640","106918.224","3d7.(4F).5p","3F*","2","3d7.(4P).4d","3P","2","","","L9429c118","",8630.585,9.06306756857032,"wn(cm-1)"
"Co","2","1002.2951","0.0006","1002.29602","0.00024","9974.367","4","1.7e+05","D","85481.689","95456.047","3d7.(4F).5s","e 3F","4","3d7.(4F).5p","5F*","5","","T6999","L9429c118","",9974.367,9.20777378109786,"wn(cm-1)"
"Co","2","996.8464","0.0014","996.8472","0.0022","10028.887","15bl(Co II)","4.0e+06","","110199.790","120228.668","3d7.(4F<9/2>).4f","2[3/2]*","1","3d7.(4F<9/2>).5g","2[3/2]","2","","T7021","L11793c118","",10028.887,9.21322490769997,"wn(cm-1)"
"Co","2","996.8355","0.0004","996.8353","0.0005","10028.996","46bl(Co II)","3.02e+07","","110199.790","120228.788","3d7.(4F<9/2>).4f","2[3/2]*","1","3d7.(4F<9/2>).5g","2[3/2]","1","","T7021","L11793c118","",10028.996,9.21323577624477,"wn(cm-1)"
"Co","2","996.8295","0.0016","996.8295","0.0016","10029.057","64bl(Co II)","9.8e+06","","110194.244","120223.300","3d7.(4F<9/2>).4f","2[3/2]*","2","3d7.(4F<9/2>).5g","2[5/2]","3","","T7021","L11793c118","",10029.057,9.21324185858986,"wn(cm-1)"
"Co","2","996.8199","0.0004","996.8192","0.0007","10029.153","43bl(Co II)","1.73e+07","","110194.244","120223.404","3d7.(4F<9/2>).4f","2[3/2]*","2","3d7.(4F<9/2>).5g","2[5/2]","2","","T7021","L11793c118","",10029.153,9.21325143073014,"wn(cm-1)"
"Co","2","996.4986","0.0006","996.4986","0.0006","10032.387","47","6.9e+07","","110199.790","120232.177","3d7.(4F<9/2>).4f","2[3/2]*","1","3d7.(4F<9/2>).5g","2[1/2]","0","","T7021","L11793c118","",10032.387,9.21357383868367,"wn(cm-1)"
"Co","2","996.2991","0.0005","996.2963","0.0024","10034.396","89bl(Co II)","2.28e+07","","110194.244","120228.668","3d7.(4F<9/2>).4f","2[3/2]*","2","3d7.(4F<9/2>).5g","2[3/2]","2","","T7021","L11793c118","",10034.396,9.21377407008167,"wn(cm-1)"
"Co","2","996.2866","0.0006","996.2843","0.0006","10034.522","83bl(Co II)","7.4e+06","","110194.244","120228.788","3d7.(4F<9/2>).4f","2[3/2]*","2","3d7.(4F<9/2>).5g","2[3/2]","1","","T7021","L11793c118","",10034.522,9.21378662681243,"wn(cm-1)"
"Co","2","995.9640","0.0005","995.9648","0.0017","10037.772","43bl(Co II)","2.19e+07","","110194.244","120232.007","3d7.(4F<9/2>).4f","2[3/2]*","2","3d7.(4F<9/2>).5g","2[1/2]","1","","T7021","L11793c118","",10037.772,9.21411045626893,"wn(cm-1)"
"Co","2","994.7924","0.0004","994.7922","0.0008","10049.594","77bl(Co II)","5.4e+07","","112041.595","122091.19","3d7.(4F<3/2>).4f","2[3/2]*","1","3d7.(4F<3/2>).5g","2[5/2]","2","","T7021","L11793c118","",10049.594,9.21528751466125,"wn(cm-1)"
"Co","2","994.6733","0.0004","994.6731","0.0007","10050.797","30","2.24e+07","","111014.319","121065.118","3d7.(4F<7/2>).4f","2[1/2]*","1","3d7.(4F<7/2>).5g","2[3/2]","2","","T7021","L11793c118","",10050.797,9.21540721382545,"wn(cm-1)"
"Co","2","994.6577","0.0007","994.6568","0.0015","10050.955","58bl","","","111014.319","121065.282","3d7.(4F<7/2>).4f","2[1/2]*","1","3d7.(4F<7/2>).5g","2[3/2]","1","","","L11793c118","",10050.955,9.21542293384827,"wn(cm-1)"
"Co","2","994.5593","0.0003","994.5582","0.0008","10051.949","120","1.04e+07","","110158.673","120210.633","3d7.(4F<9/2>).4f","2[15/2]*","8","3d7.(4F<9/2>).5g","2[15/2]","8","","T7021","L11793c118","",10051.949,9.21552182503342,"wn(cm-1)"
"Co","2","994.4084","0.0005","994.409","0.003","10053.474","250bl(Co II)","7.5e+06","","110163.09","120216.558","3d7.(4F<9/2>).4f","2[5/2]*","2","3d7.(4F<9/2>).5g","2[7/2]","3","","T7021","L11793c118","",10053.474,9.21567352539834,"wn(cm-1)"
"Co","2","994.4040","0.0005","994.405","0.004","10053.519","190bl(Co II)","2.06e+07","","110162.781","120216.288","3d7.(4F<9/2>).4f","2[5/2]*","3","3d7.(4F<9/2>).5g","2[7/2]","4","","T7021","L11793c118","",10053.519,9.21567800145301,"wn(cm-1)"
"Co","2","994.3781","0.0004","994.378","0.003","10053.781","260bl","2.71e+06","","110162.781","120216.558","3d7.(4F<9/2>).4f","2[5/2]*","3","3d7.(4F<9/2>).5g","2[7/2]","3","","T7021","L11793c118","",10053.781,9.21570406164011,"wn(cm-1)"
"Co","2","994.2717","0.0003","994.2713","0.0008","10054.857","86bl(Co II)","3.6e+07","","111014.319","121069.179","3d7.(4F<7/2>).4f","2[1/2]*","1","3d7.(4F<7/2>).5g","2[1/2]","1","","T7021","L11793c118","",10054.857,9.21581108032541,"wn(cm-1)"
"Co","2","994.2625","0.0006","994.262","0.005","10054.950","220bl(Co II)","5.4e+07","","112036.18","122091.13","3d7.(4F<3/2>).4f","2[3/2]*","2","3d7.(4F<3/2>).5g","2[5/2]","3","","T7021","L11793c118","",10054.95,9.21582032954397,"wn(cm-1)"
"Co","2","994.2581","0.0006","994.2565","0.0012","10054.994","210bl(Co II)","9.1e+06","","112036.18","122091.19","3d7.(4F<3/2>).4f","2[3/2]*","2","3d7.(4F<3/2>).5g","2[5/2]","2","","T7021","L11793c118","",10054.994,9.21582470548852,"wn(cm-1)"
"Co","2","993.8105","0.0006","993.8114","0.0006","10059.523","61","2.00e+07","","111000.225","121059.738","3d7.(4F<7/2>).4f","2[3/2]*","1","3d7.(4F<7/2>).5g","2[5/2]","2","","T7021","L11793c118","",10059.523,9.21627502702262,"wn(cm-1)"
"Co","2","993.7327","0.0003","993.7323","0.0007","10060.310","82bl(Co II)","2.14e+07","","110163.09","120223.404","3d7.(4F<9/2>).4f","2[5/2]*","2","3d7.(4F<9/2>).5g","2[5/2]","2","","T7021","L11793c118","",10060.31,9.2163532582883,"wn(cm-1)"
"Co","2","993.7121","0.0003","993.7121","0.0016","10060.519","100bl(Co II)","3.50e+07","","110162.781","120223.300","3d7.(4F<9/2>).4f","2[5/2]*","3","3d7.(4F<9/2>).5g","2[5/2]","3","","T7021","L11793c118","",10060.519,9.21637403278024,"wn(cm-1)"
"Co","2","993.7021","0.0003","993.7018","0.0008","10060.620","65bl(Co II)","","","110162.781","120223.404","3d7.(4F<9/2>).4f","2[5/2]*","3","3d7.(4F<9/2>).5g","2[5/2]","2","","","L11793c118","",10060.62,9.21638407197335,"wn(cm-1)"
"Co","2","993.5159","0.0003","993.5159","0.0003","10062.506","150","1.03e+07","","110148.061","120210.566","3d7.(4F<9/2>).4f","2[15/2]*","7","3d7.(4F<9/2>).5g","2[15/2]","7","","T7021","L11793c118","",10062.506,9.21657151799993,"wn(cm-1)"
"Co","2","993.4066","0.0004","993.4067","0.0003","10063.613","130","2.85e+07","","110996.275","121059.886","3d7.(4F<7/2>).4f","2[3/2]*","2","3d7.(4F<7/2>).5g","2[5/2]","3","","T7021","L11793c118","",10063.613,9.21668152430578,"wn(cm-1)"
"Co","2","993.2816","0.0004","993.2802","0.0010","10064.879","59","","","111000.225","121065.118","3d7.(4F<7/2>).4f","2[3/2]*","1","3d7.(4F<7/2>).5g","2[3/2]","2","","","L11793c118","",10064.879,9.21680731614371,"wn(cm-1)"
"Co","2","993.2713","0.0004","993.2748","0.0005","10064.984","17*","1.69e+05","","112007.833","122072.781","3d7.(4F<3/2>).4f","2[9/2]*","4","3d7.(4F<3/2>).5g","2[9/2]","5","","T7021","L11793c118","",10064.984,9.21681774840546,"wn(cm-1)"
"Co","2","993.2640","0.0007","993.2640","0.0016","10065.058","29bl(Co II)","3.9e+07","","111000.225","121065.282","3d7.(4F<7/2>).4f","2[3/2]*","1","3d7.(4F<7/2>).5g","2[3/2]","1","","T7021","L11793c118","",10065.058,9.21682510060076,"wn(cm-1)"
"Co","2","993.2441","0.0004","993.2432","0.0003","10065.259","80*","1.04e+05","","110986.083","121051.351","3d7.(4F<7/2>).4f","2[13/2]*","7","3d7.(4F<7/2>).5g","2[13/2]","6","","T7021","L11793c118","",10065.259,9.21684507048002,"wn(cm-1)"
"Co","2","993.2010","0.0004","993.2008","0.0004","10065.696","19","3.11e+07","","110163.09","120228.788","3d7.(4F<9/2>).4f","2[5/2]*","2","3d7.(4F<9/2>).5g","2[3/2]","1","","T7021","L11793c118","",10065.696,9.21688848620471,"wn(cm-1)"
"Co","2","993.1841","0.0024","993.1821","0.0024","10065.867","120","2.35e+07","","110162.781","120228.668","3d7.(4F<9/2>).4f","2[5/2]*","3","3d7.(4F<9/2>).5g","2[3/2]","2","","T7021","L11793c118","",10065.867,9.21690547445347,"wn(cm-1)"
"Co","2","993.1501","0.0003","993.1501","0.0008","10066.212","1100*","6.9e+07","","110158.673","120224.885","3d7.(4F<9/2>).4f","2[15/2]*","8","3d7.(4F<9/2>).5g","2[17/2]","9","","T7021","L11793c118","",10066.212,9.21693974811194,"wn(cm-1)"
"Co","2","993.1319","0.0003","993.1319","0.0003","10066.396","170","4.4e+07","","111602.201","121668.597","3d7.(4F<5/2>).4f","2[3/2]*","2","3d7.(4F<5/2>).5g","2[5/2]","3","","T7021","L11793c118","",10066.396,9.21695802691616,"wn(cm-1)"
"Co","2","992.8899","0.0009","992.8905","0.0008","10068.850","170bl(Co II)","3.48e+07","","110996.275","121065.118","3d7.(4F<7/2>).4f","2[3/2]*","2","3d7.(4F<7/2>).5g","2[3/2]","2","","T7021","L11793c118","",10068.85,9.21720177859539,"wn(cm-1)"
"Co","2","992.8842","0.0011","992.8832","0.0019","10068.908","140bl(Co II)*","3.41e+07","","110163.09","120232.007","3d7.(4F<9/2>).4f","2[5/2]*","2","3d7.(4F<9/2>).5g","2[1/2]","1","","T7021","L11793c118","",10068.908,9.21720753891886,"wn(cm-1)"
"Co","2","992.8797","0.0010","992.8796","0.0011","10068.953","150bl(Co II)","7.3e+05","","111000.225","121069.179","3d7.(4F<7/2>).4f","2[3/2]*","1","3d7.(4F<7/2>).5g","2[1/2]","1","","T7021","L11793c118","",10068.953,9.21721200811249,"wn(cm-1)"
"Co","2","992.8744","0.0010","992.8744","0.0015","10069.007","140bl(Co II)","1.75e+06","","110996.275","121065.282","3d7.(4F<7/2>).4f","2[3/2]*","2","3d7.(4F<7/2>).5g","2[3/2]","1","","T7021","L11793c118","",10069.007,9.21721737111847,"wn(cm-1)"
"Co","2","992.7294","0.0005","992.7288","0.0003","10070.478","88*","9.0e+06","","110980.867","121051.351","3d7.(4F<7/2>).4f","2[13/2]*","6","3d7.(4F<7/2>).5g","2[13/2]","6","","T7021","L11793c118","",10070.478,9.21736345231197,"wn(cm-1)"
"Co","2","992.490","0.004","992.4902","0.0008","10072.91","51","1.27e+07","","110996.275","121069.179","3d7.(4F<7/2>).4f","2[3/2]*","2","3d7.(4F<7/2>).5g","2[1/2]","1","","T7021","L11793c118","",10072.91,9.21760492112663,"wn(cm-1)"
"Co","2","992.4688","0.0009","992.4666","0.0004","10073.122","41*","4.1e+05","","111586.830","121659.974","3d7.(4F<5/2>).4f","2[11/2]*","5","3d7.(4F<5/2>).5g","2[9/2]","5","","T7021","L11793c118","",10073.122,9.21762596745476,"wn(cm-1)"
"Co","2","992.3939","0.0015","992.3910","0.0004","10073.882","45*","7.9e+06","","111586.830","121660.741","3d7.(4F<5/2>).4f","2[11/2]*","5","3d7.(4F<5/2>).5g","2[11/2]","5","","T7021","L11793c118","",10073.882,9.21770141291557,"wn(cm-1)"
"Co","2","992.3520","0.0011","992.3484","0.0006","10074.308","84*","1.55e+05","","111586.397","121660.741","3d7.(4F<5/2>).4f","2[11/2]*","6","3d7.(4F<5/2>).5g","2[11/2]","5","","T7021","L11793c118","",10074.308,9.21774369959245,"wn(cm-1)"
"Co","2","992.1120","0.0003","992.1119","0.0010","10076.745","710*","6.9e+07","","110986.083","121062.828","3d7.(4F<7/2>).4f","2[13/2]*","7","3d7.(4F<7/2>).5g","2[15/2]","8","","T7021","L11793c118","",10076.745,9.21798557280988,"wn(cm-1)"
"Co","2","992.1055","0.0003","992.1054","0.0004","10076.811","410bl(Co II)","6.9e+07","","110148.061","120224.872","3d7.(4F<9/2>).4f","2[15/2]*","7","3d7.(4F<9/2>).5g","2[17/2]","8","","T7021","L11793c118","",10076.811,9.2179921225225,"wn(cm-1)"
"Co","2","992.0281","0.0003","992.0264","0.0006","10077.597","200*","1.11e+06","","110976.722","121054.336","3d7.(4F<7/2>).4f","2[5/2]*","3","3d7.(4F<7/2>).5g","2[7/2]","3","","T7021","L11793c118","",10077.597,9.21807012034812,"wn(cm-1)"
"Co","2","991.8565","0.0003","991.8566","0.0003","10079.340","150","6.8e+07","","112007.833","122087.172","3d7.(4F<3/2>).4f","2[9/2]*","4","3d7.(4F<3/2>).5g","2[11/2]","5","","T7021","L11793c118","",10079.34,9.21824306329122,"wn(cm-1)"
"Co","2","991.8324","0.0003","991.831","0.003","10079.585","420*","2.38e+07","","110130.164","120209.768","3d7.(4F<9/2>).4f","2[7/2]*","3","3d7.(4F<9/2>).5g","2[9/2]","4","","T7021","L11793c118","",10079.585,9.21826737014291,"wn(cm-1)"
"Co","2","991.5993","0.0003","991.5992","0.0003","10081.955","690","6.8e+07","","110980.867","121062.822","3d7.(4F<7/2>).4f","2[13/2]*","6","3d7.(4F<7/2>).5g","2[15/2]","7","","T7021","L11793c118","",10081.955,9.2185024712325,"wn(cm-1)"
"Co","2","991.4806","0.0006","991.4803","0.0004","10083.162","140","2.99e+07","","110976.722","121059.886","3d7.(4F<7/2>).4f","2[5/2]*","3","3d7.(4F<7/2>).5g","2[5/2]","3","","T7021","L11793c118","",10083.162,9.21862218291098,"wn(cm-1)"
"Co","2","991.4196","0.0004","991.4196","0.0004","10083.782","130","2.93e+07","","110970.554","121054.336","3d7.(4F<7/2>).4f","2[5/2]*","2","3d7.(4F<7/2>).5g","2[7/2]","3","","T7021","L11793c118","",10083.782,9.21868366966874,"wn(cm-1)"
"Co","2","991.3786","0.0003","991.3786","0.0003","10084.199","500","6.9e+07","","111586.830","121671.029","3d7.(4F<5/2>).4f","2[11/2]*","5","3d7.(4F<5/2>).5g","2[13/2]","6","","T7021","L11793c118","",10084.199,9.21872502234554,"wn(cm-1)"
