element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,,,528.1271,,18929.57,,5.7e-05,E,10663.89,29593.46,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3P).4s,2P,1/2,E2,T4240,,,18929.57,9.8484805286786,wn(cm-1)
Ni,2,,,527.5816,,18949.14,,4.0e-03,E,13550.39,32499.53,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,18949.14,9.849513826895,wn(cm-1)
Ni,2,,,527.4110,,18955.27,,1.7e-04,E,10115.66,29070.93,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3P).4s,2P,3/2,E2,T4240,,,18955.27,9.849837272111714,wn(cm-1)
Ni,2,,,526.9140,,18973.15,,1.2e-01,E,13550.39,32523.54,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(1G).4s,2G,7/2,M1,T4240,,,18973.15,9.850780100804526,wn(cm-1)
Ni,2,,,513.2620,,19477.80,,4.5e-04,E,10115.66,29593.46,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3P).4s,2P,1/2,E2,T4240,,,19477.8,9.877030634473767,wn(cm-1)
Ni,2,,,506.4216,,19740.89,,1.3e-03,E,9330.04,29070.93,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3P).4s,2P,3/2,E2,T4240,,,19740.89,9.890447398090679,wn(cm-1)
Ni,2,499.202,,,,20026.4,500,,,,,,,,,,,,,L897,,20026.4,9.904806682102025,wn(cm-1)
Ni,2,,,462.8046,,21601.34,,1.9e-04,E,1506.94,23108.28,3p6.3d9,2D,3/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,21601.34,9.980510628785076,wn(cm-1)
Ni,2,,,457.3357,,21859.65,,4.6e-04,E,10663.89,32523.54,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,21859.65,9.992397750623395,wn(cm-1)
Ni,2,,,448.5211,,22289.24,,3.0e-01,E,1506.94,23796.18,3p6.3d9,2D,3/2,3p6.3d8.(1D).4s,2D,3/2,E2,T4240,,,22289.24,10.011859329791454,wn(cm-1)
Ni,2,,,446.6249,,22383.87,,1.3e-04,E,10115.66,32499.53,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,22383.87,10.016095889168598,wn(cm-1)
Ni,2,,,446.1464,,22407.88,,9.9e-02,E,10115.66,32523.54,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(1G).4s,2G,7/2,M1,T4240,,,22407.88,10.01716796169533,wn(cm-1)
Ni,2,,,432.6237,,23108.28,,2.5e-03,E,0.00,23108.28,3p6.3d9,2D,5/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,23108.28,10.047946273843499,wn(cm-1)
Ni,2,,,431.4807,,23169.49,,7.3e-02,E,9330.04,32499.53,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(1G).4s,2G,9/2,M1,T4240,,,23169.49,10.050591605962765,wn(cm-1)
Ni,2,,,431.0340,,23193.50,,1.6e-01,E,9330.04,32523.54,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(1G).4s,2G,7/2,M1,T4240,,,23193.5,10.051627345984985,wn(cm-1)
Ni,2,,,429.4092,,23281.26,,1.1e-01,E,1506.94,24788.20,3p6.3d9,2D,3/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,23281.26,10.055404024092079,wn(cm-1)
Ni,2,,,428.5306,,23328.99,,3.3e-03,E,1506.94,24835.93,3p6.3d9,2D,3/2,3p6.3d8.(3P).4s,4P,1/2,E2,T4240,,,23328.99,10.057452072179512,wn(cm-1)
Ni,2,,,424.8799,,23529.44,,1.7e-01,E,1506.94,25036.38,3p6.3d9,2D,3/2,3p6.3d8.(1D).4s,2D,5/2,E2,T4240,,,23529.44,10.066007682033183,wn(cm-1)
Ni,2,,,420.1172,,23796.18,,6.6e-01,E,0.00,23796.18,3p6.3d9,2D,5/2,3p6.3d8.(1D).4s,2D,3/2,E2,T4240,,,23796.18,10.077280342575708,wn(cm-1)
Ni,2,,,414.7239,,24105.63,,1.2e-04,E,8393.90,32499.53,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,24105.63,10.090200702154695,wn(cm-1)
Ni,2,,,414.3112,,24129.64,,1.0e-05,E,8393.90,32523.54,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,24129.64,10.091196239320052,wn(cm-1)
Ni,2,,,403.3038,,24788.20,,9.5e-02,E,0.00,24788.20,3p6.3d9,2D,5/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,24788.2,10.118123012469653,wn(cm-1)
Ni,2,,,402.5287,,24835.93,,2.9e-04,E,0.00,24835.93,3p6.3d9,2D,5/2,3p6.3d8.(3P).4s,4P,1/2,E2,T4240,,,24835.93,10.120046673991522,wn(cm-1)
Ni,2,,,399.3059,,25036.38,,2.2e-03,E,0.00,25036.38,3p6.3d9,2D,5/2,3p6.3d8.(1D).4s,2D,5/2,M1,T4240,,,25036.38,10.128085246072878,wn(cm-1)
Ni,2,,,362.6888,,27563.99,,1.4e-03,E,1506.94,29070.93,3p6.3d9,2D,3/2,3p6.3d8.(3P).4s,2P,3/2,M1,T4240,,,27563.99,10.224265489684985,wn(cm-1)
Ni,2,,,355.9410,,28086.52,,1.1e-03,E,1506.94,29593.46,3p6.3d9,2D,3/2,3p6.3d8.(3P).4s,2P,1/2,M1,T4240,,,28086.52,10.243045024919148,wn(cm-1)
Ni,2,,,343.8877,,29070.93,,5.7e-04,E,0.00,29070.93,3p6.3d9,2D,5/2,3p6.3d8.(3P).4s,2P,3/2,M1,T4240,,,29070.93,10.277493984785263,wn(cm-1)
Ni,2,340.105,,,,29394.2,500,,,,,,,,,,,,,L897,,29394.2,10.288552654953165,wn(cm-1)
Ni,2,337.897,,,,29586.3,500,,,,,,,,,,,,,L897,,29586.3,10.29506669533182,wn(cm-1)
Ni,2,,,337.8155,,29593.46,,4.1e+00,E,0.00,29593.46,3p6.3d9,2D,5/2,3p6.3d8.(3P).4s,2P,1/2,E2,T4240,,,29593.46,10.295308669954053,wn(cm-1)
Ni,2,336.345,,,,29722.8,500,,,,,,,,,,,,,L897,,29722.8,10.299669707045375,wn(cm-1)
Ni,2,335.868,,,,29765.0,600,,,,,,,,,,,,,L897,,29765.0,10.30108848558749,wn(cm-1)
Ni,2,334.924,,,,29848.9,500,,,,,,,,,,,,,L897,,29848.9,10.303903267220463,wn(cm-1)
Ni,2,334.884,,,,29852.5,500,,,,,,,,,,,,,L897,,29852.5,10.30402386740754,wn(cm-1)
