"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Fe","2","487.4496","","487.44957","0.00003","20509.21",":","1.99e-01","C+","2430.1369","22939.3512","3d7","a 4F","7/2","3d6.(3F2).4s","b 4F","5/2","E2","T9588,T10588c104","L22747","",20509.21,9.9286293325284,"wn(cm-1)"
"Fe","2","486.99690","0.00016","486.99685","0.00004","20528.278","60","1.4e+06","D+","83459.721","103988.001","3d6.(5D).4d","e 6F","3/2","3d6.(5D<1>).4f","2[3]*","5/2","","T6892c83","L18349c139","",20528.278,9.92955862924229,"wn(cm-1)"
"Fe","2","486.61989","0.00005","486.619912","0.000021","20544.1818","270","6.0e+06","C+","83136.508","103680.689","3d6.(5D).4d","e 6F","7/2","3d6.(5D<2>).4f","2[5]*","9/2","","T6892c83","L18349c139","",20544.1818,9.9303330557496,"wn(cm-1)"
"Fe","2","486.06798","0.00002","486.067972","0.000019","20567.5085","700","8.5e+06","C+","82853.704","103421.213","3d6.(5D).4d","e 6F","11/2","3d6.(5D<3>).4f","2[6]*","13/2","","T6892c83","L18349c139","",20567.5085,9.93146785231637,"wn(cm-1)"
"Fe","2","485.91215","0.00009","485.91230","0.00007","20574.105","350bl(Fe I)","","","73637.285","94211.383","3d5.4s2","4F","3/2","3d5.(4P).4s.4p.(3P*)","4P*","5/2","","","L18349c148","",20574.105,9.93178852520668,"wn(cm-1)"
"Fe","2","485.90296","0.00009","485.902832","0.000021","20574.494","110","1.9e+06","D+","83308.241","103882.740","3d6.(5D).4d","e 6F","5/2","3d6.(5D<1>).4f","2[4]*","7/2","","T6892c83","L18349c139","",20574.494,9.93180743229025,"wn(cm-1)"
"Fe","2","485.6152","0.0003","485.614898","0.000021","20586.684","50","9.e+05","D+","83459.721","104046.419","3d6.(5D).4d","e 6F","3/2","3d6.(5D<0>).4f","2[3]*","5/2","","T6892c83","L18349c139","",20586.684,9.93239973799911,"wn(cm-1)"
"Fe","2","","","485.27432","0.00003","20601.1460","","2.49e-02","C+","2430.1369","23031.2829","3d7","a 4F","7/2","3d6.(3F2).4s","b 4F","3/2","E2","T9588c100","","",20601.146,9.93310198429828,"wn(cm-1)"
"Fe","2","484.79978","0.00003","484.79978","0.00003","20621.3111","270","","","89444.455","110065.766","3d5.(4P).4s.4p.(3P*)","6P*","5/2","3d6.(3G).4d","2D","5/2","","","L18349c139","",20621.3111,9.93408033944871,"wn(cm-1)"
"Fe","2","","","484.35338","0.00005","20640.3161","","1.6e-03","E","667.6829","21307.999","3d6.(5D).4s","a 6D","5/2","3d7","a 2D2","3/2","M1","T8961","","",20640.3161,9.93500153440071,"wn(cm-1)"
