element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""601.137""","=""0.004""","=""601.14079""","=""0.00003""","=""16630.54""","=""1""","=""""",,"=""24299.8419""","=""40930.2744""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""1""",,"=""""","=""L808""",
Cr,2,"=""601.4621""","=""0.0002""","=""601.46227""","=""0.00011""","=""16621.550""","=""4""","=""""",,"=""89055.9455""","=""105677.4892""","=""3d4.(5D).4d""","=""e 4G""","=""5/2""","=""3d4.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18847""",
Cr,1,"=""601.479""","=""0.004""","=""601.47918""","=""0.00006""","=""16621.08""","=""10""","=""""",,"=""31393.2968""","=""48014.3731""","=""3d5.(4F).4s""","=""a 5F""","=""5""","=""3d5.(4G).4p""","=""u 5F*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""601.958""","=""0.004""","=""601.95549""","=""0.00018""","=""16607.86""","=""10""","=""""",,"=""31377.8624""","=""47985.787""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4G).4p""","=""u 5F*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""602.285""","=""0.004""","=""602.2842""","=""0.0003""","=""16598.84""","=""2""","=""""",,"=""37205.851""","=""53804.711""","=""3d5.(2G2).4s""","=""c 3G""","=""3""","=""3d3.(4F).4s2.4p""","=""v 3G*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""602.368""","=""0.004""","=""602.36301""","=""0.00006""","=""16596.55""","=""10""","=""""",,"=""31377.8624""","=""47974.5512""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4G).4p""","=""u 5F*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""602.5153""","=""0.0003""","=""602.51544""","=""0.00022""","=""16592.494""","=""4""","=""""",,"=""31393.2968""","=""47985.787""","=""3d5.(4F).4s""","=""a 5F""","=""5""","=""3d5.(4G).4p""","=""u 5F*""","=""5""",,"=""""","=""L14866""",
Cr,1,"=""602.775""","=""0.004""","=""602.7702""","=""0.0004""","=""16585.35""","=""1""","=""""",,"=""44092.9034""","=""60678.381""","=""3d5.(6S).4d""","=""e 5D""","=""0""","=""""","=""o 5F*""","=""1""",,"=""""","=""L808""",
Cr,1,"=""602.853""","=""0.004""","=""602.85825""","=""0.00018""","=""16583.20""","=""1""","=""""",,"=""38537.591""","=""55120.646""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(4G).5p""","=""u 3F*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""602.930""","=""0.004""","=""602.92717""","=""0.00008""","=""16581.08""","=""18""","=""""",,"=""31049.2155""","=""47630.3750""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""6""",,"=""""","=""L808""",
Cr,1,"=""603.700""","=""0.004""","=""603.70110""","=""0.00015""","=""16559.93""","=""8""","=""""",,"=""33060.661""","=""49620.5640""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""603.927""","=""0.004""","=""603.92779""","=""0.00006""","=""16553.71""","=""8""","=""""",,"=""31364.2327""","=""47917.9197""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4G).4p""","=""u 5F*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""604.044""","=""0.008""","=""604.04012""","=""0.00004""","=""16550.5""","=""6w""","=""""",,"=""27500.3699""","=""44050.9786""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""3d5.(6S).4d""","=""e 5D""","=""4""",,"=""""","=""L808""",
Cr,2,"=""604.05135""","=""0.00004""","=""604.05145""","=""0.00005""","=""16550.3010""","=""21""","=""""",,"=""49706.2607""","=""66256.5589""","=""3d4.(5D).4p""","=""z 4P*""","=""5/2""","=""3d3.4s2""","=""d 4P""","=""5/2""",,"=""""","=""L18847""",
Cr,1,"=""604.541""","=""0.006""","=""604.54013""","=""0.00011""","=""16536.90""","=""12*""","=""""",,"=""33113.212""","=""49650.1320""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""604.541""","=""0.006""","=""604.54392""","=""0.00009""","=""16536.90""","=""12*""","=""""",,"=""31049.2155""","=""47586.0318""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""604.7657""","=""0.0003""","=""604.76562""","=""0.00008""","=""16530.752""","=""4""","=""""",,"=""31055.2777""","=""47586.0318""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",,"=""""","=""L14866""",
Cr,2,"=""605.02612""","=""0.00014""","=""605.02615""","=""0.00011""","=""16523.637""","=""13""","=""""",,"=""89508.4990""","=""106032.1350""","=""3d4.(5D).4d""","=""e 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18847""",
Cr,2,"=""605.2494""","=""0.0002""","=""605.24962""","=""0.00005""","=""16517.540""","=""3""","=""""",,"=""49492.7111""","=""66010.2463""","=""3d4.(5D).4p""","=""z 6D*""","=""1/2""","=""3d3.4s2""","=""d 4P""","=""3/2""",,"=""""","=""L18847""",
Cr,1,"=""605.312""","=""0.004""","=""605.3131""","=""0.0018""","=""16515.83""","=""30""","=""""",,"=""42256.0868""","=""58771.89""","=""3d5.(6S).4d""","=""e 7D""","=""3""","=""3d5.(4P).5p""","=""t 3D*""","=""2""",,"=""""","=""L808""",
Cr,2,"=""605.34683""","=""0.00013""","=""605.34692""","=""0.00004""","=""16514.883""","=""7""","=""1.6e+05""",D,"=""38269.5694""","=""54784.4497""","=""3d4.(3D).4s""","=""c 4D""","=""7/2""","=""3d4.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T4502""","=""L18847""",
Cr,1,"=""605.441""","=""0.004""","=""605.44204""","=""0.00015""","=""16512.31""","=""25""","=""""",,"=""33060.661""","=""49572.9466""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""606.2674""","=""0.0002""","=""606.26731""","=""0.00011""","=""16489.806""","=""9""","=""""",,"=""25771.417""","=""42261.2258""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""","=""3d5.(6S).4d""","=""e 7D""","=""5""",,"=""""","=""L14866""",
