element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,4,"=""""","=""""","=""580.91""","=""""","=""17209.5""","=""""","=""5.9e-02""",E,"=""26649.1""","=""43858.6""","=""3p6.3d7""","=""2H""","=""11/2""","=""3p6.3d7""","=""2F""","=""7/2""",E2,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""582.01""","=""""","=""17177.1""","=""""","=""3.5e-02""",E,"=""1189.7""","=""18366.8""","=""3p6.3d7""","=""4F""","=""7/2""","=""3p6.3d7""","=""4P""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""584.6994""","=""""","=""17098.067""","=""""","=""2.4e+04""",D+,"=""13521.347""","=""30619.414""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d9.(2D).4p""","=""3F*""","=""2""",,"=""T4812""","=""""",
Ni,1,"=""585.776""","=""""","=""""","=""""","=""17066.6""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ni,1,"=""589.288""","=""""","=""589.2872""","=""""","=""16964.9""","=""10""","=""2.9e+05""",C+,"=""16017.306""","=""32982.260""","=""3d8.(3P).4s2""","=""3P""","=""0""","=""3d9.(2D).4p""","=""1P*""","=""1""",,"=""T4812""","=""L3475""",
Ni,4,"=""""","=""""","=""590.54""","=""""","=""16928.9""","=""""","=""5.3e-03""",E,"=""1189.7""","=""18118.6""","=""3p6.3d7""","=""4F""","=""7/2""","=""3p6.3d7""","=""4P""","=""5/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""590.54""","=""""","=""16928.9""","=""""","=""1.5e-02""",E,"=""1189.7""","=""18118.6""","=""3p6.3d7""","=""4F""","=""7/2""","=""3p6.3d7""","=""4P""","=""5/2""",E2,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""591.00""","=""""","=""16915.9""","=""""","=""2.6e-02""",E,"=""2042.5""","=""18958.4""","=""3p6.3d7""","=""4F""","=""5/2""","=""3p6.3d7""","=""4P""","=""1/2""",E2,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""596.42""","=""""","=""16762.1""","=""""","=""2.2e-02""",E,"=""27096.5""","=""43858.6""","=""3p6.3d7""","=""2D2""","=""5/2""","=""3p6.3d7""","=""2F""","=""7/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""596.42""","=""""","=""16762.1""","=""""","=""2.4e-02""",E,"=""27096.5""","=""43858.6""","=""3p6.3d7""","=""2D2""","=""5/2""","=""3p6.3d7""","=""2F""","=""7/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""599.6730""","=""""","=""16671.137""","=""""","=""3.2e+06""",D,"=""34163.264""","=""50834.401""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""2""",,"=""T4287""","=""""",
Ni,3,"=""""","=""""","=""600.02""","=""""","=""16661.6""","=""""","=""5.0e-02""",E,"=""0.0""","=""16661.6""","=""3p6.3d8""","=""3F""","=""4""","=""3p6.3d8""","=""3P""","=""2""",E2,"=""T493""","=""""",
Ni,2,"=""""","=""""","=""600.706""","=""""","=""16642.48""","=""""","=""7.4e-03""",E,"=""8393.90""","=""25036.38""","=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""",E2,"=""T4240""","=""""",
Ni,1,"=""""","=""""","=""600.7310""","=""""","=""16641.777""","=""""","=""1.7e+04""",D,"=""13521.347""","=""30163.124""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""2""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""602.5754""","=""""","=""16590.839""","=""""","=""6.4e+05""",D,"=""34163.264""","=""50754.103""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""2""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""603.9298""","=""""","=""16553.632""","=""""","=""5.7e+05""",D,"=""34163.264""","=""50716.896""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""605.3685""","=""""","=""16514.291""","=""""","=""2.2e+06""",D,"=""34163.264""","=""50677.555""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""3""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""608.6282""","=""""","=""16425.846""","=""""","=""1.1e+07""",D,"=""34408.555""","=""50834.401""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""2""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""610.5762""","=""""","=""16373.439""","=""""","=""5.8e+05""",D,"=""34163.264""","=""50536.703""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""1""",,"=""T4287""","=""""",
Ni,1,"=""610.812""","=""""","=""610.8116""","=""""","=""16367.1""","=""10""","=""1.3e+05""",D+,"=""13521.347""","=""29888.477""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d9.(2D).4p""","=""3D*""","=""2""",,"=""T4812""","=""L3475""",
Ni,1,"=""""","=""""","=""611.1070""","=""""","=""16359.217""","=""""","=""2.7e+06""",D,"=""32973.376""","=""49332.593""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""4""",,"=""T4287""","=""""",
Ni,4,"=""""","=""""","=""611.79""","=""""","=""16341.0""","=""""","=""4.5e-02""",E,"=""27096.5""","=""43437.5""","=""3p6.3d7""","=""2D2""","=""5/2""","=""3p6.3d7""","=""2F""","=""5/2""",M1,"=""T4605""","=""""",
