element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,"=""205.67711""","=""0.00017""","=""205.67746""","=""0.00013""","=""48604.34""","=""0""","=""""",,"=""170.1328""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
Ti,2,"=""205.857696""","=""0.000009""","=""205.857697""","=""0.000008""","=""48561.709""","=""182""","=""""",,"=""24961.1910""","=""73522.8997""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3F).5p""","=""2F*""","=""5/2""",,"=""""","=""u37""",
Ti,1,"=""205.93997""","=""0.00017""","=""205.93997""","=""0.00008""","=""48542.31""","=""4""","=""""",,"=""0.000""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
Ti,2,"=""206.055""","=""""","=""206.055245""","=""0.000017""","=""48515.1""","=""0:""","=""""",,"=""34543.3799""","=""83058.538""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""","=""3d2.(3F).6s""","=""4F""","=""7/2""",,"=""""","=""L5432""",
Ti,1,"=""206.05923""","=""0.00017""","=""206.05928""","=""0.00003""","=""48514.22""","=""5""","=""""",,"=""170.1328""","=""48684.340""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
Ti,2,"=""206.083""","=""""","=""206.082497""","=""0.000010""","=""48508.7""","=""0:""","=""""",,"=""34748.5062""","=""83257.2496""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""","=""3d2.(3F).6s""","=""4F""","=""9/2""",,"=""""","=""L5432""",
Ti,1,"=""206.17054""","=""0.00017""","=""206.17073""","=""0.00013""","=""48488.03""","=""6""","=""""",,"=""386.874""","=""48874.86""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
Ti,1,"=""206.28734""","=""0.00017""","=""206.28730""","=""0.00013""","=""48460.58""","=""4""","=""""",,"=""0.000""","=""48460.59""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3F*""","=""2""",,"=""""","=""L10989""",
Ti,1,"=""206.29143""","=""0.00017""","=""206.29178""","=""0.00017""","=""48459.62""","=""4""","=""""",,"=""170.1328""","=""48629.67""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
Ti,1,"=""206.59877""","=""0.00017""","=""206.59887""","=""0.00013""","=""48387.54""","=""7""","=""""",,"=""386.874""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
Ti,2,"=""206.648""","=""""","=""206.649106""","=""0.000011""","=""48375.9""","=""0:""","=""""",,"=""20951.7551""","=""69327.5102""","=""3d3""","=""b 2F""","=""5/2""","=""3d.(2D).4s.4p.(1P*)""","=""v 2D*""","=""3/2""",,"=""""","=""L5432""",
Ti,1,"=""206.66438""","=""0.00017""","=""206.66439""","=""0.00009""","=""48372.18""","=""4""","=""""",,"=""170.1328""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
Ti,2,"=""206.670""","=""""","=""206.669761""","=""0.000022""","=""48370.8""","=""0:""","=""""",,"=""34543.3799""","=""82914.301""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""","=""3d2.(3F).6s""","=""4F""","=""5/2""",,"=""""","=""L5432""",
Ti,17,"=""""","=""""","=""206.7""","=""""","=""48360""","=""""","=""8.5e-02""",D,"=""1271380""","=""1319740""","=""2p4""","=""3P""","=""2""","=""2p4""","=""3P""","=""0""",E2,"=""T3827,u14""","=""""",
Ti,4,"=""206.7564""","=""""","=""206.7563+""","=""""","=""48350.65""","=""20""","=""5.1e+08""",D,"=""80388.92""","=""128739.59""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""3/2""",,"=""T2757""","=""L2753,L11926""",
Ti,2,"=""206.84504""","=""0.00003""","=""206.845051""","=""0.000009""","=""48329.937""","=""18""","=""""",,"=""25192.9650""","=""73522.8997""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""2F*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""206.931""","=""""","=""206.930278""","=""0.000018""","=""48309.9""","=""0:""","=""""",,"=""34748.5062""","=""83058.538""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""","=""3d2.(3F).6s""","=""4F""","=""7/2""",,"=""""","=""L5432""",
Ti,1,"=""206.98398""","=""0.00017""","=""206.98412""","=""0.00003""","=""48297.50""","=""1""","=""""",,"=""386.874""","=""48684.340""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
Ti,1,"=""207.21857""","=""0.00017""","=""207.218652""","=""0.000011""","=""48242.83""","=""2*""","=""""",,"=""170.1328""","=""48412.9432""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F<9/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L10989""",
Ti,1,"=""207.21857""","=""0.00017""","=""207.218734""","=""0.000007""","=""48242.83""","=""2*""","=""""",,"=""0.000""","=""48242.7911""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F<7/2>).4f""","=""2[3/2]*""","=""2""",,"=""""","=""L10989""",
Ti,2,"=""208.257""","=""""","=""208.257361""","=""0.000014""","=""48002.4""","=""0:""","=""""",,"=""4628.6571""","=""52630.881""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""208.948""","=""""","=""208.949500""","=""0.000014""","=""47843.5""","=""0:""","=""""",,"=""4628.6571""","=""52471.895""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""209.004""","=""""","=""209.004113""","=""0.000014""","=""47830.8""","=""0:""","=""""",,"=""4628.6571""","=""52459.395""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""",,"=""""","=""L5432""",
Ti,2,"=""209.106""","=""""","=""209.105613""","=""0.000008""","=""47807.5""","=""0:""","=""""",,"=""4897.7179""","=""52705.2416""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""""","=""L5432""",
Ti,5,"=""209.1104""","=""""","=""209.112+""","=""""","=""47806.43""","=""5bl""","=""""",,"=""443752.7""","=""491558.7""","=""3s2.3p5.4s""","=""1P*""","=""1""","=""3s.3p6.3d""","=""3D""","=""2""",,"=""""","=""L3693""",
Ti,2,"=""209.430""","=""""","=""209.431407""","=""0.000010""","=""47733.4""","=""0:""","=""""",,"=""4897.7179""","=""52630.881""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""209.569""","=""""","=""209.571617""","=""0.000014""","=""47701.8""","=""1:""","=""""",,"=""4628.6571""","=""52329.889""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L5432""",
Ti,2,"=""209.58450""","=""0.00006""","=""209.584579""","=""0.000014""","=""47698.301""","=""8""","=""""",,"=""34543.3799""","=""82241.662""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""","=""3d2.(1G).4d""","=""2F""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""209.61411""","=""0.00004""","=""209.614137""","=""0.000009""","=""47691.563""","=""13""","=""""",,"=""25192.9650""","=""72884.5221""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""2G*""","=""7/2""",,"=""""","=""u37""",
Ti,3,"=""209.7299""","=""""","=""209.7301+""","=""""","=""47665.24""","=""9""","=""3.3e+08""",D,"=""81024.47""","=""128689.67""","=""3p6.3d.4p""","=""3P*""","=""2""","=""3p6.3d.4d""","=""3D""","=""3""",,"=""T1216""","=""L3593""",
Ti,5,"=""209.8042""","=""""","=""209.804+""","=""""","=""47648.36""","=""4""","=""""",,"=""434339.4""","=""481987.7""","=""3s2.3p5.4s""","=""3P*""","=""2""","=""3s2.3p5.4p""","=""3S""","=""1""",,"=""""","=""L3693""",
Ti,2,"=""209.908""","=""""","=""209.906900""","=""0.000006""","=""47624.9""","=""0:""","=""""",,"=""0.0000""","=""47625.0485""","=""3d2.(3F).4s""","=""a 4F""","=""3/2""","=""3d2.(1G).4p""","=""x 2F*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""209.950""","=""""","=""209.948691""","=""0.000008""","=""47615.3""","=""0:""","=""""",,"=""8710.5675""","=""56326.1371""","=""3d2.(1D).4s""","=""a 2D""","=""3/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""5/2""",,"=""""","=""L5432""",
Ti,3,"=""209.9862""","=""""","=""209.9856+""","=""""","=""47607.07""","=""7""","=""2.5e+08""",D,"=""80939.19""","=""128546.38""","=""3p6.3d.4p""","=""3P*""","=""1""","=""3p6.3d.4d""","=""3D""","=""2""",,"=""T1216""","=""L3593""",
Ti,2,"=""210.099""","=""""","=""210.097729""","=""0.000008""","=""47581.5""","=""1:""","=""""",,"=""8744.3406""","=""56326.1371""","=""3d2.(1D).4s""","=""a 2D""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""210.130""","=""""","=""210.131382""","=""0.000010""","=""47574.5""","=""1:""","=""""",,"=""4897.7179""","=""52471.895""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""210.288""","=""""","=""210.288318""","=""0.000010""","=""47538.7""","=""0:""","=""""",,"=""8710.5675""","=""56249.2448""","=""3d2.(1D).4s""","=""a 2D""","=""3/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""3/2""",,"=""""","=""L5432""",
Ti,4,"=""210.3106""","=""""","=""210.3159+""","=""""","=""47533.64""","=""18""","=""5.0e+08""",D,"=""80388.92""","=""127921.36""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""1/2""",,"=""T2757""","=""L2753,L11926""",
Ti,2,"=""210.323""","=""""","=""210.322579""","=""0.000008""","=""47530.8""","=""1:""","=""""",,"=""94.1142""","=""47625.0485""","=""3d2.(3F).4s""","=""a 4F""","=""5/2""","=""3d2.(1G).4p""","=""x 2F*""","=""5/2""",,"=""""","=""L5432""",
Ti,3,"=""210.360""","=""""","=""210.3625+""","=""""","=""47522.5""","=""5""","=""5.6e+07""",D,"=""81024.47""","=""128546.38""","=""3p6.3d.4p""","=""3P*""","=""2""","=""3p6.3d.4d""","=""3D""","=""2""",,"=""T1216""","=""L3593""",
Ti,2,"=""210.405""","=""""","=""210.403583""","=""0.000010""","=""47512.4""","=""0:""","=""""",,"=""8710.5675""","=""56223.205""","=""3d2.(1D).4s""","=""a 2D""","=""3/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""1/2""",,"=""""","=""L5432""",
Ti,2,"=""210.43784""","=""0.00015""","=""210.437838""","=""0.000010""","=""47504.90""","=""3""","=""""",,"=""8744.3406""","=""56249.2448""","=""3d2.(1D).4s""","=""a 2D""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""3/2""",,"=""""","=""u37""",
Ti,2,"=""210.48373""","=""0.00006""","=""210.483688""","=""0.000009""","=""47494.549""","=""8""","=""""",,"=""34748.5062""","=""82243.0637""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""","=""3d2.(1G).4d""","=""2F""","=""7/2""",,"=""""","=""u37""",
Ti,3,"=""210.4857""","=""""","=""210.4852+""","=""""","=""47494.10""","=""4""","=""1.1e+08""",D,"=""80939.19""","=""128433.40""","=""3p6.3d.4p""","=""3P*""","=""1""","=""3p6.3d.4d""","=""3D""","=""1""",,"=""T1216""","=""L3593""",
Ti,3,"=""210.5092""","=""""","=""210.5104+""","=""""","=""47488.80""","=""5""","=""1.7e+08""",D,"=""80944.87""","=""128433.40""","=""3p6.3d.4p""","=""3P*""","=""0""","=""3p6.3d.4d""","=""3D""","=""1""",,"=""T1216""","=""L3593""",
Ti,2,"=""210.83241""","=""0.00002""","=""210.832412""","=""0.000008""","=""47416.009""","=""21""","=""""",,"=""25192.9650""","=""72608.9742""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""4D*""","=""7/2""",,"=""""","=""u37""",
